,cwgp_combination,result
61,"(('sa', 2), ('sa', 1), ('box_cox', 2))","(0.0034363065893289074, 0.004345204164814799)"
62,"(('sa', 2), ('sa', 1), ('box_cox', 3))","(0.003337175663720834, 0.004202805321083023)"
63,"(('sa', 2), ('sa', 3), ('sa', 1))","(0.0034567727073876414, 0.0043992535393623435)"
64,"(('sa', 2), ('sa', 3), ('sal', 1))","(0.004797332633220032, 0.005473921362079907)"
65,"(('sa', 2), ('sa', 3), ('sal', 2))","(0.003522861825956843, 0.0045184749287268625)"
66,"(('sa', 2), ('sa', 3), ('sal', 3))","(0.0035311039999418115, 0.004511443652102812)"
67,"(('sa', 2), ('sa', 3), ('box_cox', 1))","(0.003639645685661465, 0.004570003471430274)"
68,"(('sa', 2), ('sa', 3), ('box_cox', 2))","(0.0034363049423513053, 0.0043452028356425485)"
69,"(('sa', 2), ('sa', 3), ('box_cox', 3))","(0.003337145555810792, 0.004202773660173484)"
70,"(('sa', 2), ('sal', 1), ('sa', 1))","(0.0047701632956576945, 0.005452138465824112)"
71,"(('sa', 2), ('sal', 1), ('sa', 3))","(0.0047701224227709015, 0.005452104124636544)"
72,"(('sa', 2), ('sal', 1), ('sal', 2))","(0.004141020042064324, 0.005016640623361713)"
73,"(('sa', 2), ('sal', 1), ('sal', 3))","(0.0048209218108278785, 0.005501086079543356)"
74,"(('sa', 2), ('sal', 1), ('box_cox', 1))","(0.004567193928209915, 0.005277423086393102)"
75,"(('sa', 2), ('sal', 1), ('box_cox', 2))","(0.004490301025705583, 0.005221166432594213)"
76,"(('sa', 2), ('sal', 1), ('box_cox', 3))","(0.004138544939784696, 0.0049243148576029435)"
77,"(('sa', 2), ('sal', 2), ('sa', 1))","(0.003960993286327307, 0.004872281646953415)"
78,"(('sa', 2), ('sal', 2), ('sa', 3))","(0.003597646051962714, 0.004577037052101729)"
79,"(('sa', 2), ('sal', 2), ('sal', 1))","(0.0036340780532133792, 0.004630142763774028)"
80,"(('sa', 2), ('sal', 2), ('sal', 3))","(0.0034952218718831024, 0.004504550082038124)"
81,"(('sa', 2), ('sal', 2), ('box_cox', 1))","(0.0030739127926521664, 0.0037148520149231624)"
82,"(('sa', 2), ('sal', 2), ('box_cox', 2))","(0.0031337336768976092, 0.0037579312764689362)"
83,"(('sa', 2), ('sal', 2), ('box_cox', 3))","(0.0033351016637447367, 0.0036060984277579144)"
84,"(('sa', 2), ('sal', 3), ('sa', 1))","(0.0028860626100145497, 0.003927803902492959)"
85,"(('sa', 2), ('sal', 3), ('sa', 3))","(0.0028518639152703934, 0.003773336070975565)"
86,"(('sa', 2), ('sal', 3), ('sal', 1))","(0.003077793685700666, 0.004157509016736917)"
87,"(('sa', 2), ('sal', 3), ('sal', 2))","(0.03603041515179976, 0.036300685621452354)"
