,cwgp_combination,result
267,"(('sal', 2), ('box_cox', 2), ('sa', 2))","(0.0031590711745691663, 0.0036733098568037924)"
268,"(('sal', 2), ('box_cox', 2), ('sa', 3))","(0.004921384803461251, 0.005521385752607726)"
269,"(('sal', 2), ('box_cox', 2), ('sal', 1))","(0.00530696022232482, 0.005902847313337452)"
270,"(('sal', 2), ('box_cox', 2), ('sal', 3))","(0.0032614866499685907, 0.003592882643473961)"
271,"(('sal', 2), ('box_cox', 2), ('box_cox', 1))","(0.003173977343460469, 0.0037352236024856813)"
272,"(('sal', 2), ('box_cox', 2), ('box_cox', 3))","(0.003018478954026393, 0.003530909080401733)"
273,"(('sal', 2), ('box_cox', 3), ('sa', 1))","(0.003174869985398232, 0.0035967389393260782)"
274,"(('sal', 2), ('box_cox', 3), ('sa', 2))","(0.0034545128362803595, 0.003742969509607769)"
275,"(('sal', 2), ('box_cox', 3), ('sa', 3))","(0.0031790755555692607, 0.0037430432900858006)"
276,"(('sal', 2), ('box_cox', 3), ('sal', 1))","(0.004562712808255788, 0.00529330053481623)"
277,"(('sal', 2), ('box_cox', 3), ('sal', 3))","(0.004428878401883274, 0.005982359527385462)"
278,"(('sal', 2), ('box_cox', 3), ('box_cox', 1))","(0.0032126285777016, 0.003567308131233698)"
279,"(('sal', 2), ('box_cox', 3), ('box_cox', 2))","(0.0030645551211179616, 0.0035979381193180933)"
280,"(('sal', 3), ('sa', 1), ('sa', 2))","(0.003103038974602806, 0.0037831199411788147)"
281,"(('sal', 3), ('sa', 1), ('sa', 3))","(0.0034568413709258616, 0.004399326240979141)"
282,"(('sal', 3), ('sa', 1), ('sal', 1))","(0.0031163270123568637, 0.0037381045495525826)"
283,"(('sal', 3), ('sa', 1), ('sal', 2))","(0.0032437360094363455, 0.004378730958300179)"
284,"(('sal', 3), ('sa', 1), ('box_cox', 1))","(0.003153925304494911, 0.0038659324466072016)"
285,"(('sal', 3), ('sa', 1), ('box_cox', 2))","(0.003116243101948258, 0.0037040362644750985)"
286,"(('sal', 3), ('sa', 1), ('box_cox', 3))","(0.003401964808630618, 0.004270912330062652)"
287,"(('sal', 3), ('sa', 2), ('sa', 1))","(0.003221622640575489, 0.003903033553830926)"
288,"(('sal', 3), ('sa', 2), ('sa', 3))","(0.003225423953937791, 0.004231728158354818)"
289,"(('sal', 3), ('sa', 2), ('sal', 1))","(0.005865420455484017, 0.006328614143395431)"
290,"(('sal', 3), ('sa', 2), ('sal', 2))","(0.0031786263616263855, 0.00423582421001628)"
291,"(('sal', 3), ('sa', 2), ('box_cox', 1))","(0.0032970538783818615, 0.003957548697775596)"
292,"(('sal', 3), ('sa', 2), ('box_cox', 2))","(0.002821680951609443, 0.0038255639920409734)"
293,"(('sal', 3), ('sa', 2), ('box_cox', 3))","(0.012793121059537171, 0.012926138800275894)"
294,"(('sal', 3), ('sa', 3), ('sa', 1))","(0.0030905130111512475, 0.0037957888344500486)"
295,"(('sal', 3), ('sa', 3), ('sa', 2))","(0.0032095018825333437, 0.0038873928892160497)"
296,"(('sal', 3), ('sa', 3), ('sal', 1))","(0.0031116185463307966, 0.003713093895111951)"
297,"(('sal', 3), ('sa', 3), ('sal', 2))","(0.010046996901880803, 0.01097684414223315)"
298,"(('sal', 3), ('sa', 3), ('box_cox', 1))","(0.0029899398317588255, 0.003942452386673089)"
299,"(('sal', 3), ('sa', 3), ('box_cox', 2))","(0.008045305763666173, 0.008567254831828)"
300,"(('sal', 3), ('sa', 3), ('box_cox', 3))","(0.0031881562567076687, 0.0034788236747242923)"
301,"(('sal', 3), ('sal', 1), ('sa', 1))","(0.0033420861597397433, 0.004298266820695181)"
302,"(('sal', 3), ('sal', 1), ('sa', 2))","(0.00421220662333333, 0.0050421335099686115)"
303,"(('sal', 3), ('sal', 1), ('sa', 3))","(0.003054593003532256, 0.004045836841776096)"
304,"(('sal', 3), ('sal', 1), ('sal', 2))","(0.0035488965103701747, 0.004181742666349531)"
305,"(('sal', 3), ('sal', 1), ('box_cox', 1))","(0.02665204658607195, 0.027512628542964965)"
306,"(('sal', 3), ('sal', 1), ('box_cox', 2))","(0.003127434936316164, 0.003720373388599462)"
307,"(('sal', 3), ('sal', 1), ('box_cox', 3))","(0.0032172487966004343, 0.0037242041798306474)"
308,"(('sal', 3), ('sal', 2), ('sa', 1))","(0.0034545201116774615, 0.004397273705564585)"
309,"(('sal', 3), ('sal', 2), ('sa', 2))","(0.003368870378311299, 0.004321213389764999)"
310,"(('sal', 3), ('sal', 2), ('sa', 3))","(0.0032747159589772384, 0.004127794834729373)"
311,"(('sal', 3), ('sal', 2), ('sal', 1))","(0.012603321025881496, 0.012739361751588369)"
312,"(('sal', 3), ('sal', 2), ('box_cox', 1))","(0.003249519834592005, 0.003960698653923363)"
313,"(('sal', 3), ('sal', 2), ('box_cox', 2))","(0.0026355937093747056, 0.0033068866404251484)"
314,"(('sal', 3), ('sal', 2), ('box_cox', 3))","(0.011132364130098346, 0.011291424885705495)"
315,"(('sal', 3), ('box_cox', 1), ('sa', 1))","(0.0028407094406220157, 0.003827946786826338)"
316,"(('sal', 3), ('box_cox', 1), ('sa', 2))","(0.0034958877456231973, 0.004100462836405073)"
317,"(('sal', 3), ('box_cox', 1), ('sa', 3))","(0.0027006894988768826, 0.0031234070946520574)"
318,"(('sal', 3), ('box_cox', 1), ('sal', 1))","(0.0030403029184353425, 0.003914993860932703)"
319,"(('sal', 3), ('box_cox', 1), ('sal', 2))","(0.009505568379695541, 0.011813024698099736)"
320,"(('sal', 3), ('box_cox', 1), ('box_cox', 2))","(0.003157600622818902, 0.003855221990957218)"
321,"(('sal', 3), ('box_cox', 1), ('box_cox', 3))","(0.003133232042889174, 0.004237369343551647)"
322,"(('sal', 3), ('box_cox', 2), ('sa', 1))","(0.004896229666177738, 0.005504422523080101)"
323,"(('sal', 3), ('box_cox', 2), ('sa', 2))","(0.003223935801741264, 0.0036698424409441002)"
324,"(('sal', 3), ('box_cox', 2), ('sa', 3))","(0.003539274454846019, 0.0037889697448812024)"
325,"(('sal', 3), ('box_cox', 2), ('sal', 1))","(0.0024740344917727635, 0.0032411107649197683)"
326,"(('sal', 3), ('box_cox', 2), ('sal', 2))","(0.010254975940701636, 0.010421503653860562)"
327,"(('sal', 3), ('box_cox', 2), ('box_cox', 1))","(0.02317927083959006, 0.023453465948560768)"
328,"(('sal', 3), ('box_cox', 2), ('box_cox', 3))","(0.00313359337153375, 0.003709909393698428)"
329,"(('sal', 3), ('box_cox', 3), ('sa', 1))","(0.0043049217942429064, 0.00477295402948792)"
330,"(('sal', 3), ('box_cox', 3), ('sa', 2))","(0.0034385328303749136, 0.004381896842503787)"
331,"(('sal', 3), ('box_cox', 3), ('sa', 3))","(0.0033606857637296333, 0.0036249525911857326)"
332,"(('sal', 3), ('box_cox', 3), ('sal', 1))","(0.0032080083539015552, 0.0037491247054394976)"
333,"(('sal', 3), ('box_cox', 3), ('sal', 2))","(0.0029785924777209006, 0.0037331460895300987)"
334,"(('sal', 3), ('box_cox', 3), ('box_cox', 1))","(0.004902993838106349, 0.005457503827271317)"
335,"(('sal', 3), ('box_cox', 3), ('box_cox', 2))","(0.0031572082932613704, 0.003588931140404781)"
336,"(('box_cox', 1), ('sa', 1), ('sa', 2))","(0.0029653552866170186, 0.004014540056239692)"
337,"(('box_cox', 1), ('sa', 1), ('sa', 3))","(0.0029653686729114287, 0.004014551743759155)"
338,"(('box_cox', 1), ('sa', 1), ('sal', 1))","(0.00397777055573125, 0.004864376760192949)"
339,"(('box_cox', 1), ('sa', 1), ('sal', 2))","(0.003007145565010111, 0.00399186192118357)"
340,"(('box_cox', 1), ('sa', 1), ('sal', 3))","(0.0031149010563127433, 0.0038647976000828633)"
341,"(('box_cox', 1), ('sa', 1), ('box_cox', 2))","(0.0028736755170607475, 0.0038406895592708254)"
342,"(('box_cox', 1), ('sa', 1), ('box_cox', 3))","(0.002646215938513572, 0.003257061026999533)"
343,"(('box_cox', 1), ('sa', 2), ('sa', 1))","(0.0029653665214753244, 0.004014549567267304)"
344,"(('box_cox', 1), ('sa', 2), ('sa', 3))","(0.0029653665001368617, 0.004014549632647602)"
345,"(('box_cox', 1), ('sa', 2), ('sal', 1))","(0.0039776941830904555, 0.0048643221569734515)"
346,"(('box_cox', 1), ('sa', 2), ('sal', 2))","(0.003146860679004005, 0.0038557760422426243)"
347,"(('box_cox', 1), ('sa', 2), ('sal', 3))","(0.0025568003260968025, 0.003537956546104654)"
348,"(('box_cox', 1), ('sa', 2), ('box_cox', 2))","(0.0028736514926552387, 0.0038406924343606466)"
349,"(('box_cox', 1), ('sa', 2), ('box_cox', 3))","(0.002642944303593575, 0.00326432199510498)"
350,"(('box_cox', 1), ('sa', 3), ('sa', 1))","(0.002965356891378644, 0.004014541390311693)"
351,"(('box_cox', 1), ('sa', 3), ('sa', 2))","(0.0029653649301724055, 0.004014548219222857)"
352,"(('box_cox', 1), ('sa', 3), ('sal', 1))","(0.003977756635225149, 0.004864366847521189)"
353,"(('box_cox', 1), ('sa', 3), ('sal', 2))","(0.01389123270010223, 0.014033870383066343)"
354,"(('box_cox', 1), ('sa', 3), ('sal', 3))","(0.0030922349409534416, 0.00370026073742446)"
355,"(('box_cox', 1), ('sa', 3), ('box_cox', 2))","(0.00287365966000883, 0.0038406917135078425)"
356,"(('box_cox', 1), ('sa', 3), ('box_cox', 3))","(0.0027566124205724058, 0.0035491923672264824)"
357,"(('box_cox', 1), ('sal', 1), ('sa', 1))","(0.0039587903707592065, 0.004850741633112757)"
358,"(('box_cox', 1), ('sal', 1), ('sa', 2))","(0.005024938256259441, 0.00567403451731809)"
359,"(('box_cox', 1), ('sal', 1), ('sa', 3))","(0.005010501469962026, 0.005662414227233886)"
360,"(('box_cox', 1), ('sal', 1), ('sal', 2))","(0.0038923293904075435, 0.00480046816775788)"
361,"(('box_cox', 1), ('sal', 1), ('sal', 3))","(0.016805566730369224, 0.017661739644794762)"
362,"(('box_cox', 1), ('sal', 1), ('box_cox', 2))","(0.004820241279315292, 0.005489450561404195)"
363,"(('box_cox', 1), ('sal', 1), ('box_cox', 3))","(0.0034333795793298283, 0.0043581576382276666)"
364,"(('box_cox', 1), ('sal', 2), ('sa', 1))","(0.003134104890074949, 0.0038023332955296097)"
365,"(('box_cox', 1), ('sal', 2), ('sa', 2))","(0.003133652802984491, 0.0038023559177454117)"
366,"(('box_cox', 1), ('sal', 2), ('sa', 3))","(0.003141551483503333, 0.0038011285730907354)"
367,"(('box_cox', 1), ('sal', 2), ('sal', 1))","(0.0031171465723659714, 0.003739333403452653)"
368,"(('box_cox', 1), ('sal', 2), ('sal', 3))","(0.0033004199964993064, 0.0035986721985704546)"
369,"(('box_cox', 1), ('sal', 2), ('box_cox', 2))","(0.003130411972789321, 0.0037353882907510427)"
370,"(('box_cox', 1), ('sal', 2), ('box_cox', 3))","(0.0031358164055959353, 0.0036584405804738164)"
371,"(('box_cox', 1), ('sal', 3), ('sa', 1))","(0.003028859020351025, 0.004120909420648722)"
372,"(('box_cox', 1), ('sal', 3), ('sa', 2))","(0.0031106661562231614, 0.00387379757509736)"
373,"(('box_cox', 1), ('sal', 3), ('sa', 3))","(0.00299323760571387, 0.004070154052196366)"
374,"(('box_cox', 1), ('sal', 3), ('sal', 1))","(0.003040992588367827, 0.0039427228241230815)"
375,"(('box_cox', 1), ('sal', 3), ('sal', 2))","(0.0031977155611639585, 0.0043454771159929274)"
376,"(('box_cox', 1), ('sal', 3), ('box_cox', 2))","(0.05962346426183257, 0.06633886104575253)"
377,"(('box_cox', 1), ('sal', 3), ('box_cox', 3))","(0.003123220349760294, 0.003727117741798922)"
378,"(('box_cox', 1), ('box_cox', 2), ('sa', 1))","(0.0029051796905438403, 0.003931909589962963)"
379,"(('box_cox', 1), ('box_cox', 2), ('sa', 2))","(0.0029051800232424547, 0.003931903438558725)"
380,"(('box_cox', 1), ('box_cox', 2), ('sa', 3))","(0.002905179895717734, 0.003931903768619962)"
381,"(('box_cox', 1), ('box_cox', 2), ('sal', 1))","(0.005075614232035611, 0.005715045437983129)"
382,"(('box_cox', 1), ('box_cox', 2), ('sal', 2))","(0.00312758108262205, 0.0037816459945082)"
383,"(('box_cox', 1), ('box_cox', 2), ('sal', 3))","(0.0029561392865171676, 0.004010504729522718)"
384,"(('box_cox', 1), ('box_cox', 2), ('box_cox', 3))","(0.007103983455528373, 0.007428511560369841)"
385,"(('box_cox', 1), ('box_cox', 3), ('sa', 1))","(0.0029228729914349432, 0.003911023727404402)"
386,"(('box_cox', 1), ('box_cox', 3), ('sa', 2))","(0.0029228727840291163, 0.003911034222219918)"
387,"(('box_cox', 1), ('box_cox', 3), ('sa', 3))","(0.0029228761261289077, 0.003911034936813636)"
388,"(('box_cox', 1), ('box_cox', 3), ('sal', 1))","(0.005038470673659106, 0.005685300936834929)"
389,"(('box_cox', 1), ('box_cox', 3), ('sal', 2))","(0.009391995150244794, 0.011246480934467456)"
390,"(('box_cox', 1), ('box_cox', 3), ('sal', 3))","(0.0031279230866687008, 0.0038009077295139)"
391,"(('box_cox', 1), ('box_cox', 3), ('box_cox', 2))","(0.022594613014083834, 0.029543414203281108)"
392,"(('box_cox', 2), ('sa', 1), ('sa', 2))","(0.002970025470387601, 0.0040438990772697515)"
393,"(('box_cox', 2), ('sa', 1), ('sa', 3))","(0.002969398928176726, 0.004043175363834967)"
394,"(('box_cox', 2), ('sa', 1), ('sal', 1))","(0.0031963661121465403, 0.0042310754566804755)"
395,"(('box_cox', 2), ('sa', 1), ('sal', 2))","(0.0041616256351227465, 0.00452762346717501)"
396,"(('box_cox', 2), ('sa', 1), ('sal', 3))","(0.0030067315401294697, 0.003706034099602721)"
397,"(('box_cox', 2), ('sa', 1), ('box_cox', 1))","(0.0029637963451841576, 0.004036324358258997)"
398,"(('box_cox', 2), ('sa', 1), ('box_cox', 3))","(0.0029036320673260624, 0.00368520151818366)"
399,"(('box_cox', 2), ('sa', 2), ('sa', 1))","(0.002970004380299695, 0.004043879038494384)"
400,"(('box_cox', 2), ('sa', 2), ('sa', 3))","(0.002970010082803878, 0.004043880251854063)"
401,"(('box_cox', 2), ('sa', 2), ('sal', 1))","(0.0031964977400672618, 0.004231181507367714)"
402,"(('box_cox', 2), ('sa', 2), ('sal', 2))","(0.003067408686451683, 0.003980010767883088)"
403,"(('box_cox', 2), ('sa', 2), ('sal', 3))","(0.0030359222303187167, 0.0040903931591080986)"
404,"(('box_cox', 2), ('sa', 2), ('box_cox', 1))","(0.0029638814004556624, 0.004036459511696396)"
405,"(('box_cox', 2), ('sa', 2), ('box_cox', 3))","(0.0028649037563145408, 0.0035711787622524577)"
406,"(('box_cox', 2), ('sa', 3), ('sa', 1))","(0.0029700258036500066, 0.00404390136659293)"
407,"(('box_cox', 2), ('sa', 3), ('sa', 2))","(0.0029700409047690524, 0.004043922973482827)"
408,"(('box_cox', 2), ('sa', 3), ('sal', 1))","(0.0031960070296108262, 0.004230795210645439)"
409,"(('box_cox', 2), ('sa', 3), ('sal', 2))","(0.00322833661768098, 0.004251903501418603)"
410,"(('box_cox', 2), ('sa', 3), ('sal', 3))","(0.00348421569564555, 0.0044756087092607975)"
411,"(('box_cox', 2), ('sa', 3), ('box_cox', 1))","(0.0029637760567809424, 0.004036289635631546)"
412,"(('box_cox', 2), ('sa', 3), ('box_cox', 3))","(0.002888194656439913, 0.0036456498882885347)"
413,"(('box_cox', 2), ('sal', 1), ('sa', 1))","(0.0031939261797869767, 0.004229090421114834)"
414,"(('box_cox', 2), ('sal', 1), ('sa', 2))","(0.0031941391619643273, 0.004229241249987361)"
415,"(('box_cox', 2), ('sal', 1), ('sa', 3))","(0.0031940430310193136, 0.004229170322236867)"
416,"(('box_cox', 2), ('sal', 1), ('sal', 2))","(0.003236425741925988, 0.004263947427590157)"
417,"(('box_cox', 2), ('sal', 1), ('sal', 3))","(0.05796633060019591, 0.05813470945852985)"
418,"(('box_cox', 2), ('sal', 1), ('box_cox', 1))","(0.003019248285949968, 0.0040773061566546495)"
419,"(('box_cox', 2), ('sal', 1), ('box_cox', 3))","(0.002839345489384661, 0.0036786364926149053)"
420,"(('box_cox', 2), ('sal', 2), ('sa', 1))","(0.03203328445155879, 0.03606277249368019)"
421,"(('box_cox', 2), ('sal', 2), ('sa', 2))","(0.0029237552305747777, 0.003848663780072727)"
422,"(('box_cox', 2), ('sal', 2), ('sa', 3))","(0.0028889582826316295, 0.003235383702857956)"
423,"(('box_cox', 2), ('sal', 2), ('sal', 1))","(0.003011105013419831, 0.00407784698235825)"
424,"(('box_cox', 2), ('sal', 2), ('sal', 3))","(0.002960599314393305, 0.003876632340412782)"
425,"(('box_cox', 2), ('sal', 2), ('box_cox', 1))","(0.15246354814859173, 0.1530562495617899)"
426,"(('box_cox', 2), ('sal', 2), ('box_cox', 3))","(0.027602387560112025, 0.027887290296461323)"
427,"(('box_cox', 2), ('sal', 3), ('sa', 1))","(0.0029868029478696267, 0.00406576411471794)"
428,"(('box_cox', 2), ('sal', 3), ('sa', 2))","(0.002939747625858865, 0.003954048099660248)"
429,"(('box_cox', 2), ('sal', 3), ('sa', 3))","(0.00313635735670238, 0.0038688398702035223)"
430,"(('box_cox', 2), ('sal', 3), ('sal', 1))","(0.003304324239716649, 0.0043175271954544224)"
431,"(('box_cox', 2), ('sal', 3), ('sal', 2))","(0.002692609121166462, 0.003219451878914979)"
432,"(('box_cox', 2), ('sal', 3), ('box_cox', 1))","(0.0032221267280528798, 0.00378339954376214)"
433,"(('box_cox', 2), ('sal', 3), ('box_cox', 3))","(0.0037434003641795516, 0.004689752113195226)"
434,"(('box_cox', 2), ('box_cox', 1), ('sa', 1))","(0.002975233144391992, 0.003970322984851391)"
435,"(('box_cox', 2), ('box_cox', 1), ('sa', 2))","(0.00297524728413134, 0.003970332516847205)"
436,"(('box_cox', 2), ('box_cox', 1), ('sa', 3))","(0.002975228195127732, 0.00397029860980155)"
437,"(('box_cox', 2), ('box_cox', 1), ('sal', 1))","(0.0029641888206000866, 0.00402043711368529)"
438,"(('box_cox', 2), ('box_cox', 1), ('sal', 2))","(0.0029653052431202515, 0.003946488767441512)"
439,"(('box_cox', 2), ('box_cox', 1), ('sal', 3))","(0.00310143949159166, 0.003887160919707846)"
440,"(('box_cox', 2), ('box_cox', 1), ('box_cox', 3))","(0.005696407721340093, 0.006199683454722159)"
441,"(('box_cox', 2), ('box_cox', 3), ('sa', 1))","(0.0030286176800474107, 0.003930935497746065)"
442,"(('box_cox', 2), ('box_cox', 3), ('sa', 2))","(0.0030286191575647136, 0.003930932574667422)"
443,"(('box_cox', 2), ('box_cox', 3), ('sa', 3))","(0.003675529091905958, 0.004707015062609148)"
444,"(('box_cox', 2), ('box_cox', 3), ('sal', 1))","(0.012219247682773608, 0.013937118367268506)"
445,"(('box_cox', 2), ('box_cox', 3), ('sal', 2))","(0.003098212397417136, 0.003807207517075896)"
446,"(('box_cox', 2), ('box_cox', 3), ('sal', 3))","(0.00410982049894668, 0.005005422536460131)"
447,"(('box_cox', 2), ('box_cox', 3), ('box_cox', 1))","(0.005855834786791735, 0.006332964705869025)"
448,"(('box_cox', 3), ('sa', 1), ('sa', 2))","(0.0056424591442970394, 0.006119072929715969)"
449,"(('box_cox', 3), ('sa', 1), ('sa', 3))","(0.005799965004396743, 0.006254967795463033)"
450,"(('box_cox', 3), ('sa', 1), ('sal', 1))","(0.006214607078861322, 0.006630113314430598)"
451,"(('box_cox', 3), ('sa', 1), ('sal', 2))","(0.002992268667083841, 0.004072628184717437)"
452,"(('box_cox', 3), ('sa', 1), ('sal', 3))","(0.03989831080119449, 0.04014254806766992)"
453,"(('box_cox', 3), ('sa', 1), ('box_cox', 1))","(0.002986190919387915, 0.00392268599076526)"
454,"(('box_cox', 3), ('sa', 1), ('box_cox', 2))","(0.006125298782678963, 0.006514768541797392)"
455,"(('box_cox', 3), ('sa', 2), ('sa', 1))","(0.005759292331641709, 0.0062197753028527284)"
456,"(('box_cox', 3), ('sa', 2), ('sa', 3))","(0.005831903879618425, 0.006282670307844142)"
457,"(('box_cox', 3), ('sa', 2), ('sal', 1))","(0.0038886755698764597, 0.004802357203665804)"
458,"(('box_cox', 3), ('sa', 2), ('sal', 2))","(0.0030996061874021463, 0.0041516590998779985)"
459,"(('box_cox', 3), ('sa', 2), ('sal', 3))","(0.003052638925365852, 0.003695476925066976)"
460,"(('box_cox', 3), ('sa', 2), ('box_cox', 1))","(0.0060888834074664545, 0.006493064255738806)"
461,"(('box_cox', 3), ('sa', 2), ('box_cox', 2))","(0.0029771941078755026, 0.003916787738407599)"
462,"(('box_cox', 3), ('sa', 3), ('sa', 1))","(0.005892746151902177, 0.006335284211772277)"
463,"(('box_cox', 3), ('sa', 3), ('sa', 2))","(0.005812830753816116, 0.006265874223442563)"
464,"(('box_cox', 3), ('sa', 3), ('sal', 1))","(0.002973522346028244, 0.004037033261557745)"
465,"(('box_cox', 3), ('sa', 3), ('sal', 2))","(0.0033264009454094406, 0.004338602805273554)"
466,"(('box_cox', 3), ('sa', 3), ('sal', 3))","(0.0030421105019517686, 0.003878879781934552)"
467,"(('box_cox', 3), ('sa', 3), ('box_cox', 1))","(0.0061992014990498645, 0.006592151914628065)"
468,"(('box_cox', 3), ('sa', 3), ('box_cox', 2))","(0.0028763520660408143, 0.0038729283390931306)"
469,"(('box_cox', 3), ('sal', 1), ('sa', 1))","(0.0064498520503046075, 0.00683615456507997)"
470,"(('box_cox', 3), ('sal', 1), ('sa', 2))","(0.00616217158611674, 0.006583307946715884)"
471,"(('box_cox', 3), ('sal', 1), ('sa', 3))","(0.0029781643453791395, 0.004045270771627895)"
472,"(('box_cox', 3), ('sal', 1), ('sal', 2))","(0.005960326188368638, 0.007421216130003728)"
473,"(('box_cox', 3), ('sal', 1), ('sal', 3))","(0.0056203537900267764, 0.006100480424340869)"
474,"(('box_cox', 3), ('sal', 1), ('box_cox', 1))","(0.005933013971248481, 0.006363981881811529)"
475,"(('box_cox', 3), ('sal', 1), ('box_cox', 2))","(0.006017559392605684, 0.00643715416480084)"
476,"(('box_cox', 3), ('sal', 2), ('sa', 1))","(0.004058823036564364, 0.0048783902906946374)"
477,"(('box_cox', 3), ('sal', 2), ('sa', 2))","(0.00607978219649311, 0.0065089270438323426)"
478,"(('box_cox', 3), ('sal', 2), ('sa', 3))","(0.006057100032684721, 0.006522455678955619)"
479,"(('box_cox', 3), ('sal', 2), ('sal', 1))","(0.0032175188817695965, 0.003868249298417639)"
480,"(('box_cox', 3), ('sal', 2), ('sal', 3))","(0.0033088514207823987, 0.004270164589736655)"
481,"(('box_cox', 3), ('sal', 2), ('box_cox', 1))","(0.0035332983809830965, 0.004506501571386033)"
482,"(('box_cox', 3), ('sal', 2), ('box_cox', 2))","(1.6936562966388877, 1.6936616763418324)"
483,"(('box_cox', 3), ('sal', 3), ('sa', 1))","(0.003001085770821199, 0.003865219132130496)"
484,"(('box_cox', 3), ('sal', 3), ('sa', 2))","(0.003101946368765366, 0.0036472313170938042)"
485,"(('box_cox', 3), ('sal', 3), ('sa', 3))","(0.0031574519479465996, 0.004169286162930094)"
486,"(('box_cox', 3), ('sal', 3), ('sal', 1))","(0.003043047641764246, 0.0035893846827659255)"
487,"(('box_cox', 3), ('sal', 3), ('sal', 2))","(0.0030584442062787853, 0.003919148149425721)"
488,"(('box_cox', 3), ('sal', 3), ('box_cox', 1))","(0.003118819659069203, 0.0036591285957393908)"
489,"(('box_cox', 3), ('sal', 3), ('box_cox', 2))","(0.002956405561449751, 0.004018355393137396)"
490,"(('box_cox', 3), ('box_cox', 1), ('sa', 1))","(0.0030027498051816543, 0.003941159761873236)"
491,"(('box_cox', 3), ('box_cox', 1), ('sa', 2))","(0.005199785180755419, 0.005748432228707744)"
492,"(('box_cox', 3), ('box_cox', 1), ('sa', 3))","(0.005253184054904024, 0.005792440369021697)"
493,"(('box_cox', 3), ('box_cox', 1), ('sal', 1))","(0.005687473170754013, 0.00616788884856755)"
494,"(('box_cox', 3), ('box_cox', 1), ('sal', 2))","(0.003715114117156752, 0.0046641832968361725)"
495,"(('box_cox', 3), ('box_cox', 1), ('sal', 3))","(0.0038918035374418958, 0.004758200218259313)"
496,"(('box_cox', 3), ('box_cox', 1), ('box_cox', 2))","(0.007810004716291468, 0.008083175594518011)"
497,"(('box_cox', 3), ('box_cox', 2), ('sa', 1))","(0.004818395964975146, 0.005442844603344609)"
498,"(('box_cox', 3), ('box_cox', 2), ('sa', 2))","(0.00491801883348038, 0.005521285425767158)"
499,"(('box_cox', 3), ('box_cox', 2), ('sa', 3))","(0.004958295587151325, 0.005553697313409129)"
500,"(('box_cox', 3), ('box_cox', 2), ('sal', 1))","(0.005193726905222308, 0.005753709062720139)"
501,"(('box_cox', 3), ('box_cox', 2), ('sal', 2))","(0.004011083563704653, 0.004884889396961757)"
502,"(('box_cox', 3), ('box_cox', 2), ('sal', 3))","(0.0029680785151943523, 0.003977475713615013)"
503,"(('box_cox', 3), ('box_cox', 2), ('box_cox', 1))","(0.007901140782364516, 0.008168073259213603)"
