,cwgp_combination,result
0,"(('sa', 2), ('sal', 2))","(0.0031064195857958116, 0.0037385292345897725)"
1,"(('sa', 2), ('box_cox', 2))","(0.0034363095190732156, 0.004345207460201367)"
2,"(('sal', 2), ('sa', 2))","(0.0033092623572124613, 0.004060088640988685)"
3,"(('sal', 2), ('box_cox', 2))","(0.11931796907971168, 0.14102642697211523)"
4,"(('box_cox', 2), ('sa', 2))","(0.0029700392998382253, 0.004043917209156343)"
5,"(('box_cox', 2), ('sal', 2))","(0.0030397634823286146, 0.003946600685418509)"
