,cwgp_combination,result
0,"(('sa', 2), ('sa', 2))","(0.004410572217390002, 0.0035419847009899863)"
1,"(('sa', 2), ('sa', 3))","(0.0044105504871611205, 0.0035419557922761985)"
2,"(('sa', 2), ('sal', 2))","(0.004334104369548987, 0.0034920963055481108)"
3,"(('sa', 2), ('sal', 3))","(0.003848889945504668, 0.003057188620701328)"
4,"(('sa', 2), ('box_cox', 2))","(0.0038683631096296392, 0.0029610369232529387)"
5,"(('sa', 2), ('box_cox', 3))","(0.003751888303160291, 0.002859263548298665)"
6,"(('sa', 3), ('sa', 2))","(0.004410575303780771, 0.0035419891800192054)"
7,"(('sa', 3), ('sa', 3))","(0.004410572088654241, 0.0035419845144597784)"
8,"(('sa', 3), ('sal', 2))","(0.0037727127598429174, 0.0035218176393495876)"
9,"(('sa', 3), ('sal', 3))","(0.003760242511895475, 0.00350930249776425)"
10,"(('sa', 3), ('box_cox', 2))","(0.003868377709427645, 0.002961057473626405)"
11,"(('sa', 3), ('box_cox', 3))","(0.0037518897122410886, 0.0028592640760774857)"
12,"(('sal', 2), ('sa', 2))","(0.003703216154254441, 0.003370577238224715)"
13,"(('sal', 2), ('sa', 3))","(0.003811265405070692, 0.003518266939289682)"
14,"(('sal', 2), ('sal', 2))","(0.0039637238414025645, 0.003323394766945015)"
15,"(('sal', 2), ('sal', 3))","(0.0038634282366930037, 0.003115753457535901)"
16,"(('sal', 2), ('box_cox', 2))","(0.0036516893852369127, 0.003338214815964393)"
17,"(('sal', 2), ('box_cox', 3))","(0.003559658654507181, 0.0031866886361822783)"
18,"(('sal', 3), ('sa', 2))","(0.002878813560982671, 0.0025450707523820165)"
19,"(('sal', 3), ('sa', 3))","(0.003645220910906121, 0.0033008710539711122)"
20,"(('sal', 3), ('sal', 2))","(0.0035655903489183313, 0.0027890458115271887)"
21,"(('sal', 3), ('sal', 3))","(0.003934401963682937, 0.003341626303671154)"
22,"(('sal', 3), ('box_cox', 2))","(0.003435787840389665, 0.003019773924475801)"
23,"(('sal', 3), ('box_cox', 3))","(0.003669400051473313, 0.003404828727900881)"
24,"(('box_cox', 2), ('sa', 2))","(0.00368914799228137, 0.0027083952173212467)"
25,"(('box_cox', 2), ('sa', 3))","(0.0036891938781764403, 0.002708349377821297)"
26,"(('box_cox', 2), ('sal', 2))","(0.012682521653895258, 0.01031836665353925)"
27,"(('box_cox', 2), ('sal', 3))","(0.00442982356989244, 0.0032940866362285875)"
28,"(('box_cox', 2), ('box_cox', 2))","(0.006981049398962125, 0.006612914567817612)"
29,"(('box_cox', 2), ('box_cox', 3))","(0.0070156503165529575, 0.006650155738818343)"
30,"(('box_cox', 3), ('sa', 2))","(0.005304417993571319, 0.0046376877531223)"
31,"(('box_cox', 3), ('sa', 3))","(0.005298062684785021, 0.004634003849657874)"
32,"(('box_cox', 3), ('sal', 2))","(0.005030934794800855, 0.004176150903520629)"
33,"(('box_cox', 3), ('sal', 3))","(0.003758621283078723, 0.0035032168552007192)"
34,"(('box_cox', 3), ('box_cox', 2))","(0.004569792002236507, 0.0033875216225235888)"
35,"(('box_cox', 3), ('box_cox', 3))","(0.004334357406619894, 0.0033565678883169642)"
